<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2010.01.24	1.04052	1.06404	1.03673	1.06052	248774	0	10
2010.01.31	1.06143	1.07937	1.04972	1.07232	240996	0	10
2010.02.07	1.07520	1.08269	1.06083	1.07536	246130	0	10
2010.02.14	1.07679	1.08975	1.06465	1.07548	219833	0	10
2010.02.21	1.07676	1.08777	1.06942	1.07327	247782	0	10
2010.02.28	1.07422	1.08868	1.06481	1.07398	248041	0	10
2010.03.07	1.07352	1.08032	1.05758	1.05764	168519	0	13
2010.03.14	1.05889	1.06461	1.05064	1.06125	181046	0	13
2010.03.21	1.06073	1.07504	1.05463	1.06500	205665	0	10
2010.03.28	1.06003	1.06893	1.04343	1.06076	168625	0	14
2010.04.04	1.06158	1.07850	1.05836	1.06561	167174	0	10
2010.04.11	1.05861	1.06326	1.05014	1.06126	192312	0	13
2010.04.18	1.06288	1.08491	1.06018	1.07281	188580	0	10
2010.04.25	1.07456	1.09233	1.06993	1.07745	231196	0	10
2010.05.02	1.07568	1.12448	1.07536	1.10791	285622	0	10
2010.05.09	1.09991	1.13354	1.09228	1.13346	323866	0	10
2010.05.16	1.13397	1.15840	1.12672	1.14951	381072	0	13
2010.05.23	1.15012	1.16950	1.14802	1.15897	250348	0	6
2010.05.30	1.15761	1.17298	1.14297	1.16193	261565	1315000000	9
2010.06.06	1.16370	1.16723	1.13976	1.14920	292279	0	14
2010.06.13	1.14866	1.14883	1.10810	1.10833	254188	36000000	6
2010.06.20	1.10242	1.11365	1.09208	1.09264	208056	0	14
2010.06.27	1.09345	1.09377	1.05778	1.06259	195235	0	11
2010.07.04	1.06383	1.06730	1.04799	1.05758	152587	0	6
2010.07.11	1.05539	1.06749	1.03992	1.05049	218808	0	6
2010.07.18	1.04830	1.05624	1.03936	1.05433	162268	0	14
2010.07.25	1.05400	1.06391	1.03614	1.04101	162316	0	13
2010.08.01	1.04008	1.05536	1.03305	1.03883	137736	0	10
2010.08.08	1.03710	1.06240	1.03710	1.05089	155843	0	11
2010.08.15	1.04801	1.05330	1.02572	1.03384	165296	0	11
2010.08.22	1.03481	1.04497	1.02197	1.02780	166903	0	14
2010.08.29	1.02740	1.03083	1.00640	1.01624	127485	0	10
2010.09.05	1.01640	1.02769	1.00599	1.01963	132095	0	10
2010.09.12	1.01911	1.02053	0.99321	1.00959	176125	0	11
2010.09.19	1.01050	1.01170	0.97800	0.98282	134819	0	10
2010.09.26	0.98300	0.98772	0.97077	0.97356	179080	0	14
2010.10.03	0.97520	0.97888	0.95545	0.96370	187614	0	12
2010.10.10	0.96030	0.97272	0.94626	0.95874	152230	0	10
2010.10.17	0.95803	0.98037	0.95411	0.97693	203497	0	11
2010.10.24	0.97688	0.99281	0.96624	0.98218	267208	0	12
2010.10.31	0.98253	0.99706	0.95475	0.96109	321016	0	13
2010.11.07	0.96082	0.98124	0.95863	0.98080	353376	0	13
2010.11.14	0.97998	0.99968	0.97621	0.99224	385660	0	13
2010.11.21	0.99158	1.00528	0.98482	1.00323	416204	0	13
2010.11.28	1.00298	1.00655	0.97264	0.97343	455687	0	13
2010.12.05	0.97535	0.99143	0.97254	0.98078	417281	0	14
2010.12.12	0.98144	0.98505	0.95578	0.96861	396430	0	9
2010.12.19	0.97005	0.97191	0.94966	0.96203	335287	0	10
2010.12.26	0.96092	0.96447	0.92993	0.93432	309643	0	13
2011.01.02	0.93359	0.97071	0.93188	0.96697	394589	0	12
2011.01.09	0.96837	0.97826	0.96042	0.96320	419188	0	14
2011.01.16	0.96326	0.96860	0.95204	0.95810	427118	0	7
2011.01.23	0.95829	0.96221	0.93895	0.94165	433231	0	9
2011.01.30	0.94209	0.95925	0.93284	0.95496	390371	0	13
2011.02.06	0.95602	0.97741	0.95232	0.97298	281525	0	13
