<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2004.08.18	12:00:00	1.24470	1.24950	1.24350	1.24890	2414	0	50
2004.08.18	16:00:00	1.24920	1.25150	1.24480	1.24590	2339	0	50
2004.08.18	20:00:00	1.24580	1.24720	1.24370	1.24520	2118	0	50
2004.08.19	00:00:00	1.24470	1.24630	1.24380	1.24540	2106	0	50
2004.08.19	04:00:00	1.24530	1.24660	1.24420	1.24560	1852	0	50
2004.08.19	08:00:00	1.24510	1.24640	1.24050	1.24170	2408	0	50
2004.08.19	12:00:00	1.24140	1.24550	1.24000	1.24470	2498	0	50
2004.08.19	16:00:00	1.24430	1.24530	1.24060	1.24230	2651	0	50
2004.08.19	20:00:00	1.24210	1.24440	1.24170	1.24290	1982	0	50
2004.08.20	00:00:00	1.24260	1.24410	1.24170	1.24290	1928	0	50
2004.08.20	04:00:00	1.24280	1.24400	1.24140	1.24220	1991	0	50
2004.08.20	08:00:00	1.24240	1.24650	1.24020	1.24590	2332	0	50
2004.08.20	12:00:00	1.24580	1.25390	1.24470	1.25250	2449	0	50
2004.08.20	16:00:00	1.25240	1.25330	1.24790	1.25210	2462	0	50
2004.08.20	20:00:00	1.25210	1.25300	1.24950	1.25130	1873	0	50
2004.08.23	00:00:00	1.25140	1.25480	1.25020	1.25320	2052	0	50
2004.08.23	04:00:00	1.25320	1.25430	1.25090	1.25240	1843	0	50
2004.08.23	08:00:00	1.25230	1.25710	1.25130	1.25600	2285	0	50
2004.08.23	12:00:00	1.25600	1.26190	1.25510	1.26000	2425	0	50
2004.08.23	16:00:00	1.25980	1.26650	1.25930	1.26560	2441	0	50
2004.08.23	20:00:00	1.26570	1.27160	1.26540	1.26970	2070	0	50
2004.08.24	00:00:00	1.27020	1.27050	1.26770	1.26880	2161	0	50
2004.08.24	04:00:00	1.26860	1.27140	1.26720	1.26740	2294	0	50
2004.08.24	08:00:00	1.26750	1.27050	1.26630	1.26790	2321	0	50
2004.08.24	12:00:00	1.26770	1.27410	1.26700	1.27050	2585	0	50
2004.08.24	16:00:00	1.27020	1.27560	1.26850	1.27240	2594	0	50
2004.08.24	20:00:00	1.27260	1.27520	1.27150	1.27260	2177	0	50
2004.08.25	00:00:00	1.27270	1.27580	1.27140	1.27450	2246	0	50
2004.08.25	04:00:00	1.27430	1.27510	1.27200	1.27220	1937	0	50
2004.08.25	08:00:00	1.27220	1.27440	1.26960	1.27320	2405	0	50
2004.08.25	12:00:00	1.27320	1.27710	1.27140	1.27260	2658	0	50
2004.08.25	16:00:00	1.27260	1.27500	1.27060	1.27230	2517	0	50
2004.08.25	20:00:00	1.27270	1.27490	1.27160	1.27310	2230	0	50
2004.08.26	00:00:00	1.27350	1.27600	1.27230	1.27380	1893	0	50
2004.08.26	04:00:00	1.27400	1.27710	1.27340	1.27700	1966	0	50
2004.08.26	08:00:00	1.27710	1.27840	1.27320	1.27540	2440	0	50
2004.08.26	12:00:00	1.27560	1.27720	1.27090	1.27660	2630	0	50
2004.08.26	16:00:00	1.27660	1.27720	1.27160	1.27230	2385	0	50
2004.08.26	20:00:00	1.27210	1.27380	1.27140	1.27140	1994	0	50
2004.08.27	00:00:00	1.27180	1.27400	1.27100	1.27140	1866	0	50
2004.08.27	04:00:00	1.27150	1.27270	1.27000	1.27060	2120	0	50
2004.08.27	08:00:00	1.27090	1.27590	1.26930	1.27370	2334	0	50
2004.08.27	12:00:00	1.27350	1.28130	1.27270	1.28060	2727	0	50
2004.08.27	16:00:00	1.28030	1.28530	1.27870	1.28240	2669	0	50
2004.08.27	20:00:00	1.28240	1.28440	1.28110	1.28430	1767	0	50
2004.08.30	00:00:00	1.28280	1.28470	1.28150	1.28340	1329	0	50
2004.08.30	04:00:00	1.28350	1.28530	1.28250	1.28300	1572	0	50
2004.08.30	08:00:00	1.28300	1.28380	1.27840	1.27900	1749	0	50
2004.08.30	12:00:00	1.27880	1.28170	1.27730	1.28020	1719	0	50
2004.08.30	16:00:00	1.28050	1.28100	1.27580	1.27790	1737	0	50
2004.08.30	20:00:00	1.27800	1.28020	1.27730	1.27950	1623	0	50
2004.08.31	00:00:00	1.27950	1.28060	1.27600	1.27680	1481	0	50
2004.08.31	04:00:00	1.27670	1.27710	1.27390	1.27590	1758	0	50
2004.08.31	08:00:00	1.27590	1.27800	1.27420	1.27570	1885	0	50
2004.08.31	12:00:00	1.27580	1.27670	1.27120	1.27380	2027	0	50
2004.08.31	16:00:00	1.27390	1.27410	1.26290	1.26460	2153	0	50
2004.08.31	20:00:00	1.26490	1.26780	1.26380	1.26690	1565	0	50
2004.09.01	00:00:00	1.26600	1.26710	1.26390	1.26470	1477	0	50
2004.09.01	04:00:00	1.26460	1.26700	1.26420	1.26640	1542	0	50
2004.09.01	08:00:00	1.26620	1.26780	1.26430	1.26530	1937	0	50
2004.09.01	12:00:00	1.26520	1.26620	1.26030	1.26080	2052	0	50
2004.09.01	16:00:00	1.26060	1.26610	1.25570	1.25890	2400	0	50
2004.09.01	20:00:00	1.25940	1.26130	1.25860	1.26000	2021	0	50
2004.09.02	00:00:00	1.26010	1.26120	1.25930	1.25960	1607	0	50
2004.09.02	04:00:00	1.25960	1.26250	1.25920	1.26160	1905	0	50
2004.09.02	08:00:00	1.26170	1.26270	1.25800	1.26140	2574	0	50
2004.09.02	12:00:00	1.26140	1.26320	1.25850	1.26150	2719	0	50
2004.09.02	16:00:00	1.26160	1.26410	1.26080	1.26290	2303	0	50
2004.09.02	20:00:00	1.26360	1.26550	1.25970	1.26160	2013	0	50
2004.09.03	00:00:00	1.26130	1.26330	1.26020	1.26220	1877	0	50
2004.09.03	04:00:00	1.26230	1.26330	1.26020	1.26110	1817	0	50
2004.09.03	08:00:00	1.26110	1.26380	1.25980	1.26080	2320	0	50
2004.09.03	12:00:00	1.26110	1.27040	1.25750	1.26670	2863	0	50
2004.09.03	16:00:00	1.26680	1.27270	1.26530	1.27040	2381	0	50
2004.09.03	20:00:00	1.27010	1.27220	1.26880	1.27130	1386	0	50
2004.09.06	00:00:00	1.27030	1.27180	1.26950	1.27090	1005	0	50
2004.09.06	04:00:00	1.27080	1.27200	1.26940	1.27100	1545	0	50
2004.09.06	08:00:00	1.27130	1.27230	1.26980	1.27110	1902	0	50
2004.09.06	12:00:00	1.27110	1.27180	1.26920	1.27000	1848	0	50
2004.09.06	16:00:00	1.27010	1.27140	1.26910	1.26990	1522	0	50
2004.09.06	20:00:00	1.26980	1.27140	1.26870	1.27070	914	0	50
2004.09.07	00:00:00	1.27040	1.27200	1.27010	1.27110	1130	0	50
2004.09.07	04:00:00	1.27090	1.27220	1.26870	1.26940	1424	0	50
2004.09.07	08:00:00	1.26940	1.27000	1.26580	1.26640	1872	0	50
2004.09.07	12:00:00	1.26650	1.27280	1.26580	1.27140	2018	0	50
2004.09.07	16:00:00	1.27160	1.27210	1.26830	1.27030	1922	0	50
2004.09.07	20:00:00	1.27030	1.27110	1.26660	1.26730	1677	0	50
2004.09.08	00:00:00	1.26760	1.27050	1.26700	1.26780	1555	0	50
2004.09.08	04:00:00	1.26770	1.27280	1.26680	1.27230	1544	0	50
2004.09.08	08:00:00	1.27220	1.27300	1.26920	1.27250	1882	0	50
2004.09.08	12:00:00	1.27260	1.27920	1.27210	1.27740	2063	0	50
2004.09.08	16:00:00	1.27730	1.27830	1.26050	1.26170	2329	0	50
2004.09.08	20:00:00	1.26150	1.26230	1.25940	1.26040	1615	0	50
2004.09.09	00:00:00	1.26080	1.26160	1.25880	1.26000	1375	0	50
2004.09.09	04:00:00	1.26010	1.26230	1.25890	1.26190	1482	0	50
2004.09.09	08:00:00	1.26170	1.26500	1.25950	1.26320	2033	0	50
2004.09.09	12:00:00	1.26330	1.26610	1.26110	1.26500	2154	0	50
2004.09.09	16:00:00	1.26510	1.26660	1.26170	1.26340	2056	0	50
