<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2018.11.18	1.28307	1.29267	1.27635	1.28003	419349	0	4
2018.11.25	1.28222	1.28634	1.27245	1.27479	541615	0	3
2018.12.02	1.27430	1.28393	1.26579	1.27313	600020	0	3
2018.12.09	1.27032	1.27593	1.24756	1.25831	640732	0	3
2018.12.16	1.25992	1.27065	1.25437	1.26360	625936	0	6
2018.12.23	1.26197	1.27378	1.26151	1.26945	345926	0	3
2018.12.30	1.26907	1.28137	1.23953	1.27230	371544	0	4
2019.01.06	1.27160	1.28654	1.27060	1.28335	472204	0	3
2019.01.13	1.28502	1.30002	1.26677	1.28739	496314	0	6
2019.01.20	1.28714	1.32173	1.28297	1.31971	506253	0	8
2019.01.27	1.31837	1.32104	1.30426	1.30811	529647	0	4
2019.02.03	1.30614	1.31028	1.28532	1.29392	405700	0	4
2019.02.10	1.29278	1.29581	1.27722	1.28859	436371	0	4
2019.02.17	1.29022	1.31084	1.28908	1.30526	450617	0	6
2019.02.24	1.30679	1.33494	1.30453	1.32027	522290	0	6
2019.03.03	1.32426	1.32536	1.29892	1.30154	502032	0	6
2019.03.10	1.29833	1.33807	1.29594	1.32900	580285	0	8
2019.03.17	1.32953	1.33106	1.30032	1.32077	541145	0	6
2019.03.24	1.32089	1.32687	1.29767	1.30280	580109	0	4
2019.03.31	1.30381	1.31955	1.29862	1.30326	532593	0	3
2019.04.07	1.30337	1.31322	1.30215	1.30696	448177	0	5
2019.04.14	1.30706	1.31184	1.29782	1.29809	465509	0	8
2019.04.21	1.29812	1.30187	1.28650	1.29144	384899	0	3
2019.04.28	1.29147	1.31762	1.29034	1.31728	410261	0	5
2019.05.05	1.31434	1.31700	1.29667	1.30017	467008	0	6
2019.05.12	1.29923	1.30400	1.27122	1.27122	381758	0	5
2019.05.19	1.27287	1.28131	1.26045	1.27104	418555	0	5
2019.05.26	1.27264	1.27472	1.25583	1.26304	409918	0	6
2019.06.02	1.26291	1.27625	1.26097	1.27379	486999	0	4
2019.06.09	1.27231	1.27579	1.25794	1.25890	493844	0	5
2019.06.16	1.25782	1.27459	1.25053	1.27446	517006	0	4
2019.06.23	1.27324	1.27832	1.26601	1.26944	481190	0	6
2019.06.30	1.26943	1.27050	1.24805	1.25214	379152	0	6
2019.07.07	1.25239	1.25786	1.24391	1.25753	343795	0	3
2019.07.14	1.25403	1.25779	1.23817	1.25014	335286	0	3
2019.07.21	1.24896	1.25223	1.23759	1.23815	311633	0	3
2019.07.28	1.23744	1.23828	1.20792	1.21576	409958	0	2
2019.08.04	1.21162	1.22094	1.20221	1.20231	455050	0	3
2019.08.11	1.20398	1.21751	1.20148	1.21433	487580	0	3
